Arrestados segun edad sexo y nacionalidad	Cantidad	Mes	Año	
Edad 1 a 17	89	Abril a Junio	2022	
Edad 18 a 25	1753	Abril a Junio	2022	
Edad 26 a 30	1215	Abril a Junio	2022	
Edad 31 a 35	958	Abril a Junio	2022	
Edad 36 a 40	857	Abril a Junio	2022	
Edad 41 a 45	608	Abril a Junio	2022	
Edad 46 a 50	417	Abril a Junio	2022	
Edad 51 a mas	1188	Abril a Junio	2022	
Hombres 	6953	Abril a Junio	2022	
Mujeres	132	Abril a Junio	2022	
Dominicanos	6503	Abril a Junio	2022	
Extranjeros	582	Abril a Junio	2022	
Edad 1 a 17	104	Julio a Septiembre	2022	
Edad 18 a 25	1997	Julio a Septiembre	2022	
Edad 26 a 30	1437	Julio a Septiembre	2022	
Edad 31 a 35	1151	Julio a Septiembre	2022	
Edad 36 a 40	1035	Julio a Septiembre	2022	
Edad 41 a 45	747	Julio a Septiembre	2022	
Edad 46 a 50	455	Julio a Septiembre	2022	
Edad 51 a mas	1367	Julio a Septiembre	2022	
Hombres 	8176	Julio a Septiembre	2022	
Mujeres	114	Julio a Septiembre	2022	
Dominicanos	7619	Julio a Septiembre	2022	
Extranjeros	674	Julio a Septiembre	2022	
Edad 1 a 17	86	Octubre a Diciembre	2022	
Edad 18 a 25	2154	Octubre a Diciembre	2022	
Edad 26 a 30	1567	Octubre a Diciembre	2022	
Edad 31 a 35	1207	Octubre a Diciembre	2022	
Edad 36 a 40	1206	Octubre a Diciembre	2022	
Edad 41 a 45	889	Octubre a Diciembre	2022	
Edad 46 a 50	518	Octubre a Diciembre	2022	
Edad 51 a mas	1022	Octubre a Diciembre	2022	
Hombres 	8495	Octubre a Diciembre	2022	
Mujeres	154	Octubre a Diciembre	2022	
Dominicanos	7891	Octubre a Diciembre	2022	
Extranjeros	758	Octubre a Diciembre	2022	
Edad 1 a 17	31	Enero a Marzo	2023	
Edad 18 a 25	645	Enero a Marzo	2023	
Edad 26 a 30	480	Enero a Marzo	2023	
Edad 31 a 35	396	Enero a Marzo	2023	
Edad 36 a 40	290	Enero a Marzo	2023	
Edad 41 a 45	196	Enero a Marzo	2023	
Edad 46 a 50	391	Enero a Marzo	2023	
Edad 51 a mas	391	Enero a Marzo	2023	
Hombres 	2770	Enero a Marzo	2023	
Mujeres	40	Enero a Marzo	2023	
Dominicanos	2599	Enero a Marzo	2023	
Extranjeros	211	Enero a Marzo	2023	
Edad 1 a 17	64	Abril a Junio	2023	
Edad 18 a 25	1.842	Abril a Junio	2023	
Edad 26 a 30	1.398	Abril a Junio	2023	
Edad 31 a 35	1.134	Abril a Junio	2023	
Edad 36 a 40	1.094	Abril a Junio	2023	
Edad 41 a 45	837	Abril a Junio	2023	
Edad 46 a 50	545	Abril a Junio	2023	
Edad 51 a mas	1.162	Abril a Junio	2023	
Hombres 	7.955	Abril a Junio	2023	
Mujeres	121	Abril a Junio	2023	
Dominicanos	7.383	Abril a Junio	2023	
Extranjeros	693	Abril a Junio	2023	
Edad 1 a 17	92	Julio a Septiembre	2023	
Edad 18 a 25	2.151	Julio a Septiembre	2023	
Edad 26 a 30	1.646	Julio a Septiembre	2023	
Edad 31 a 35	1.377	Julio a Septiembre	2023	
Edad 36 a 40	1.168	Julio a Septiembre	2023	
Edad 41 a 45	933	Julio a Septiembre	2023	
Edad 46 a 50	603	Julio a Septiembre	2023	
Edad 51 a mas	1.482	Julio a Septiembre	2023	
Hombres 	9.323	Julio a Septiembre	2023	
Mujeres	129	Julio a Septiembre	2023	
Dominicanos	8.484	Julio a Septiembre	2023	
Extranjeros	968	Julio a Septiembre	2023	
Edad 1 a 17	77	Octubre a Diciembre	2023	
Edad 18 a 25	2.305	Octubre a Diciembre	2023	
Edad 26 a 30	1.866	Octubre a Diciembre	2023	
Edad 31 a 35	1.521	Octubre a Diciembre	2023	
Edad 36 a 40	1.443	Octubre a Diciembre	2023	
Edad 41 a 45	1.257	Octubre a Diciembre	2023	
Edad 46 a 50	790	Octubre a Diciembre	2023	
Edad 51 a mas	2.121	Octubre a Diciembre	2023	
Hombres 	11.263	Octubre a Diciembre	2023	
Mujeres	117	Octubre a Diciembre	2023	
Dominicanos	9.925	Octubre a Diciembre	2023	
Extranjeros	1.455	Octubre a Diciembre	2023	
Edad 1 a 17	110	Enero a Marzo	2024	
Edad 18 a 25	2490	Enero a Marzo	2024	
Edad 26 a 30	1969	Enero a Marzo	2024	
Edad 31 a 35	1751	Enero a Marzo	2024	
Edad 36 a 40	1628	Enero a Marzo	2024	
Edad 41 a 45	1436	Enero a Marzo	2024	
Edad 46 a 50	862	Enero a Marzo	2024	
Edad 51 a mas	2360	Enero a Marzo	2024	
Hombres 	12481	Enero a Marzo	2024	
Mujeres	125	Enero a Marzo	2024	
Dominicanos	11027	Enero a Marzo	2024	
Extranjeros	1579	Enero a Marzo	2024	
Edad 1 a 17	86	Abril a Junio	2024	
Edad 18 a 25	2485	Abril a Junio	2024	
Edad 26 a 30	2004	Abril a Junio	2024	
Edad 31 a 35	1774	Abril a Junio	2024	
Edad 36 a 40	1592	Abril a Junio	2024	
Edad 41 a 45	1389	Abril a Junio	2024	
Edad 46 a 50	838	Abril a Junio	2024	
Edad 51 a mas	1911	Abril a Junio	2024	
Hombres 	11970	Abril a Junio	2024	
Mujeres	109	Abril a Junio	2024	
Dominicanos	10525	Abril a Junio	2024	
Extranjeros	1554	Abril a Junio	2024	
Edad 1 a 17	106	Julio a Septiembre	2024	
Edad 18 a 25	2876	Julio a Septiembre	2024	
Edad 26 a 30	2159	Julio a Septiembre	2024	
Edad 31 a 35	1849	Julio a Septiembre	2024	
Edad 36 a 40	1636	Julio a Septiembre	2024	
Edad 41 a 45	1462	Julio a Septiembre	2024	
Edad 46 a 50	990	Julio a Septiembre	2024	
Edad 51 a mas	1640	Julio a Septiembre	2024	
Hombres 	12595	Julio a Septiembre	2024	
Mujeres	123	Julio a Septiembre	2024	
Dominicanos	11148	Julio a Septiembre	2024	
Extranjeros	1570	Julio a Septiembre	2024	
Edad 1 a 17	110	Octubre a Diciembre	2024	
Edad 18 a 25	2584	Octubre a Diciembre	2024	
Edad 26 a 30	2022	Octubre a Diciembre	2024	
Edad 31 a 35	1665	Octubre a Diciembre	2024	
Edad 36 a 40	1498	Octubre a Diciembre	2024	
Edad 41 a 45	1251	Octubre a Diciembre	2024	
Edad 46 a 50	869	Octubre a Diciembre	2024	
Edad 51 a mas	1562	Octubre a Diciembre	2024	
Hombres 	11472	Octubre a Diciembre	2024	
Mujeres	89	Octubre a Diciembre	2024	
Dominicanos	10045	Octubre a Diciembre	2024	
Extranjeros	1516	Octubre a Diciembre	2024	
Edad 1 a 17	111	Enero a Marzo	2025	
Edad 18 a 25	2598	Enero a Marzo	2025	
Edad 26 a 30	2165	Enero a Marzo	2025	
Edad 31 a 35	1851	Enero a Marzo	2025	
Edad 36 a 40	1607	Enero a Marzo	2025	
Edad 41 a 45	1411	Enero a Marzo	2025	
Edad 46 a 50	975	Enero a Marzo	2025	
Edad 51 a mas	1468	Enero a Marzo	2025	
Hombres 	12071	Enero a Marzo	2025	
Mujeres	115	Enero a Marzo	2025	
Dominicanos	10885	Enero a Marzo	2025	
Extranjeros	1301	Enero a Marzo	2025	
Edad 1 a 17	103	Abril a Junio	2025	
Edad 18 a 25	2,524	Abril a Junio	2025	
Edad 26 a 30	1972	Abril a Junio	2025	
Edad 31 a 35	1650	Abril a Junio	2025	
Edad 36 a 40	1460	Abril a Junio	2025	
Edad 41 a 45	1355	Abril a Junio	2025	
Edad 46 a 50	888	Abril a Junio	2025	
Edad 51 a mas	1621	Abril a Junio	2025	
Hombres 	11463	Abril a Junio	2025	
Mujeres	110	Abril a Junio	2025	
Dominicanos	10179	Abril a Junio	2025	
Extranjeros	1394	Abril a Junio	2025	
